# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = negativebinomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = negativebinomial_1.data.R
# init = 2 (Default)
# random
#   seed = 2863632350
# output
#   file = negativebinomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta
# Adaptation terminated
# Step size = 0.675461
# Diagonal elements of inverse mass matrix:
# 0.178281, 0.201626
-22.275,0.980071,0.675461,2,7,0,23.1954,1.23714,0.718527
-21.7676,0.951155,0.675461,1,3,0,23.1854,0.797039,0.570621
-22.0249,0.804698,0.675461,2,3,0,22.9861,0.73422,0.346523
-21.7818,0.995379,0.675461,2,7,0,22.0313,0.726356,0.519308
-21.856,0.960218,0.675461,3,11,0,22.2887,0.833524,0.616076
-21.7201,0.888743,0.675461,3,7,0,23.8216,0.77984,0.538277
-22.7784,0.898031,0.675461,2,3,0,22.9683,0.848408,0.770965
-22.1092,0.974807,0.675461,3,7,0,22.6717,0.676159,0.329798
-22.1046,0.949378,0.675461,2,7,0,22.7563,1.24766,0.59057
-22.7468,0.92835,0.675461,1,1,0,22.7586,1.24854,0.797419
-22.9382,0.597046,0.675461,2,3,0,23.6806,1.14133,0.823496
-21.6631,0.995462,0.675461,2,3,0,23.1103,0.861612,0.554128
-21.7218,0.975331,0.675461,2,3,0,21.8312,1.01119,0.588531
-21.9233,0.987581,0.675461,2,3,0,21.9698,1.15042,0.630498
-22.8908,0.857522,0.675461,2,7,0,23.9347,0.434657,0.363527
-22.2075,0.9964,0.675461,2,5,0,22.9762,1.22768,0.522647
-23.0621,0.959095,0.675461,3,7,0,24.0059,0.428408,0.271671
-24.0028,0.979461,0.675461,2,7,0,24.5776,1.78762,0.811555
-24.7876,0.429507,0.675461,2,3,0,26.5831,1.6871,0.46381
-24.7876,0.5,0.675461,1,1,0,26.0656,1.6871,0.46381
-24.1527,0.997266,0.675461,2,7,0,25.3317,0.454931,0.664571
-22.3034,0.905445,0.675461,1,3,0,25.0133,0.549155,0.33168
-22.1848,1,0.675461,1,1,0,22.3001,0.587639,0.335964
-22.1848,0.923544,0.675461,1,3,0,24.7067,0.587639,0.335964
-22.3167,0.978207,0.675461,2,3,0,22.5224,0.528089,0.400087
-21.8264,0.993335,0.675461,2,3,0,22.3966,0.965421,0.450348
-22.2846,0.807133,0.675461,2,3,0,23.115,1.24867,0.717011
-22.2846,0.620587,0.675461,1,1,0,22.8304,1.24867,0.717011
-22.2846,0.5,0.675461,1,1,0,23.3226,1.24867,0.717011
-21.8563,0.965703,0.675461,2,3,0,22.4602,0.678954,0.496745
-23.4678,0.785057,0.675461,2,3,0,24.4425,0.935217,0.26775
-21.8919,1,0.675461,3,7,0,22.9973,0.656202,0.397302
-22.45,0.963054,0.675461,2,3,0,22.5131,0.501761,0.383196
-24.1211,0.873015,0.675461,2,3,0,24.5528,0.354188,0.475105
-23.3373,1,0.675461,1,1,0,24.111,0.418158,0.473033
-23.2004,0.966359,0.675461,2,3,0,25.0764,0.463859,0.224089
-23.6231,0.964033,0.675461,2,3,0,23.7926,0.367358,0.245353
-23.3007,1,0.675461,2,3,0,23.6876,0.39132,0.28107
-22.8376,1,0.675461,2,3,0,23.6382,0.442372,0.371989
-22.1009,0.949725,0.675461,2,5,0,23.9105,0.815342,0.663042
-23.3191,0.393435,0.675461,3,7,0,24.0029,0.679785,0.217267
-23.0644,0.921265,0.675461,2,7,0,23.5933,0.412835,0.319792
-24.0883,0.953024,0.675461,2,3,0,24.2763,0.749062,0.193343
-23.2101,0.75,0.675461,1,3,1,24.8963,0.907777,0.275335
-22.6004,1,0.675461,1,1,0,23.1436,0.842394,0.301836
-21.6447,0.977416,0.675461,2,7,0,23.1333,0.903816,0.497002
-22.7411,0.853437,0.675461,2,7,0,23.2623,0.60256,0.250455
-21.6632,0.708516,0.675461,2,3,0,24.5067,0.830752,0.460369
-22.6443,0.974925,0.675461,2,3,0,23.395,1.07783,0.790933
-23.0763,0.803108,0.675461,2,3,0,23.9207,1.32556,0.443523
-22.5657,1,0.675461,2,3,0,23.209,0.928114,0.765137
-22.8103,0.302993,0.675461,3,7,0,24.4476,0.493305,0.261338
-23.6116,0.973863,0.675461,3,7,0,23.7408,0.58563,0.188901
-23.458,0.815795,0.675461,2,5,0,25.1485,0.595456,0.723212
-21.9334,0.918613,0.675461,2,3,0,23.9592,0.645678,0.384944
-23.0739,0.809514,0.675461,2,5,0,24.2989,0.453982,0.24444
-24.3731,0.842851,0.675461,2,3,0,24.9956,0.705566,0.173995
-24.64,0.944392,0.675461,1,1,0,25.0286,0.758253,0.174695
-23.041,0.969191,0.675461,2,7,0,25.0097,0.466308,0.242057
-22.7181,0.813347,0.675461,2,5,0,23.6765,0.686963,0.259656
-22.9695,0.987603,0.675461,2,3,0,23.4033,0.524205,0.233181
-21.8821,0.915067,0.675461,2,3,0,23.9017,0.713704,0.548278
-25.0523,0.893729,0.675461,3,11,0,25.7646,0.669224,0.145548
-25.1324,0.968868,0.675461,2,7,0,26.072,0.262362,0.192734
-25.1479,0.845261,0.675461,2,3,0,28.8129,0.561602,0.12725
-22.8623,0.75,0.675461,1,3,1,26.0004,0.513271,0.246902
-25.3148,0.636118,0.675461,1,3,1,26.8058,1.10881,0.234403
-26.4178,0.835158,0.675461,2,3,0,27.3102,0.284162,0.625615
-21.781,0.975036,0.675461,2,7,0,28.6359,0.756798,0.547878
-21.6896,0.998009,0.675461,1,3,0,21.7763,0.814515,0.546318
-22.3067,0.937464,0.675461,2,3,0,22.4432,0.603454,0.303944
-21.7278,0.920962,0.675461,2,7,0,22.5264,0.885002,0.44531
-21.8087,0.961627,0.675461,2,7,0,22.0569,1.06999,0.617283
-22.7121,0.830745,0.675461,1,1,0,22.7458,1.09053,0.799113
-22.0558,0.919607,0.675461,2,3,0,22.9247,1.07713,0.456725
-22.2848,0.984787,0.675461,2,5,0,23.061,0.570903,0.319835
-21.7478,0.756178,0.675461,1,3,0,23.6101,0.898243,0.443548
-22.9632,0.544934,0.675461,2,3,0,26.6258,0.71153,0.245052
-21.9543,0.996089,0.675461,2,7,0,24.1423,0.922405,0.404593
-23.1843,0.920982,0.675461,2,3,0,23.3492,1.30143,0.839994
-23.3915,1,0.675461,2,5,0,24.4123,0.439144,0.213463
-23.273,0.942474,0.675461,3,7,0,24.0787,0.393772,0.374348
-22.6779,0.996068,0.675461,3,7,0,23.4449,0.799334,0.284538
-21.643,0.952012,0.675461,3,7,0,22.685,0.905496,0.547397
-21.6712,0.977838,0.675461,3,7,0,21.8274,0.774544,0.4879
-25.0208,0.674609,0.675461,1,3,0,25.6584,0.456855,0.757629
-24.6099,0.51932,0.675461,2,3,0,26.7354,0.584907,0.821827
-22.5044,1,0.675461,1,1,0,23.9014,0.589623,0.578117
-22.5044,0.50294,0.675461,1,1,0,24.745,0.589623,0.578117
-22.1323,1,0.675461,3,7,0,22.7153,1.0037,0.712739
-22.1323,0.380662,0.675461,1,2,1,25.9677,1.0037,0.712739
-22.0044,0.705983,0.675461,2,7,0,22.9581,1.07489,0.466359
-22.0044,0.5,0.675461,0,1,1,27.3142,1.07489,0.466359
-22.0044,0.5,0.675461,0,1,1,27.8089,1.07489,0.466359
-21.6599,0.974164,0.675461,2,3,0,22.1503,0.788034,0.492497
-21.6599,0.5,0.675461,1,1,0,24.3254,0.788034,0.492497
-21.8621,0.974486,0.675461,2,3,0,21.9131,0.892536,0.41201
-22.1234,0.954616,0.675461,1,3,0,22.9556,0.58487,0.360434
-23.3664,0.496662,0.675461,2,7,0,24.6192,0.480988,0.204513
-24.3251,0.98218,0.675461,2,3,0,24.4045,0.347955,0.17338
-24.4228,1,0.675461,2,3,0,24.6128,0.390949,0.150698
-22.2247,0.996736,0.675461,2,3,0,24.4842,0.602572,0.319478
-21.6879,0.931239,0.675461,2,7,0,22.7558,0.851027,0.564174
-21.9932,0.978888,0.675461,2,7,0,22.2088,0.61243,0.395325
-22.1197,0.996434,0.675461,2,3,0,22.1893,0.676683,0.327958
-21.961,0.666667,0.675461,1,2,1,24.285,0.889031,0.659935
-21.9215,0.98304,0.675461,3,7,0,22.5496,0.636233,0.451812
-23.1713,0.964989,0.675461,3,7,0,23.1842,1.60945,0.641807
-22.0355,1,0.675461,2,7,0,23.3294,0.632861,0.50935
-21.904,0.992656,0.675461,2,3,0,22.1512,0.891458,0.403046
-22.7045,0.94656,0.675461,2,7,0,23.1056,0.814231,0.28597
-22.1566,1,0.675461,2,3,0,22.6739,0.821431,0.343059
-22.0452,0.741621,0.675461,2,3,0,23.2677,0.772972,0.631925
-22.7235,0.891241,0.675461,1,1,0,22.8284,0.683041,0.692575
-22.7235,0.775357,0.675461,1,3,0,25.237,0.683041,0.692575
-22.7235,0.5,0.675461,0,1,1,25.0182,0.683041,0.692575
-23.0082,0.909053,0.675461,1,1,0,23.4656,0.710513,0.743703
-22.527,0.950535,0.675461,2,3,0,23.51,0.91851,0.75846
-22.3819,1,0.675461,2,3,0,22.5553,1.20373,0.469878
-22.8206,0.816002,0.675461,3,7,0,23.2803,1.1016,0.811094
-22.8206,0.517577,0.675461,2,3,0,24.1247,1.1016,0.811094
-21.8657,0.821545,0.675461,3,7,0,23.2665,0.866017,0.402661
-21.9967,0.978671,0.675461,1,3,0,22.4574,0.62815,0.371156
-21.8431,0.977933,0.675461,1,3,0,22.479,0.699595,0.518193
-22.3536,0.938336,0.675461,1,1,0,22.3546,0.620198,0.580003
-22.0221,0.981736,0.675461,1,3,0,22.9285,0.860625,0.664335
-21.869,0.984858,0.675461,3,7,0,22.486,1.10843,0.629948
-21.8153,0.931655,0.675461,2,5,0,22.3028,0.693303,0.494399
-22.4049,0.932587,0.675461,2,5,0,22.8327,0.798658,0.706563
-22.005,1,0.675461,1,1,0,22.3495,0.797616,0.635802
-21.868,0.974541,0.675461,1,3,0,22.3661,1.11091,0.627646
-23.1099,0.754523,0.675461,1,1,0,23.2442,1.18505,0.839136
-23.3711,0.169346,0.675461,3,7,0,26.5386,0.71371,0.220295
-23.8715,1,0.675461,2,3,0,24.2999,0.333779,0.301891
-24.7183,0.990395,0.675461,2,7,0,25.3432,0.348642,0.145492
-25.1381,0.22477,0.675461,3,15,0,26.8579,0.805952,0.168499
