# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = gauss_2.data.R
# init = 2 (Default)
# random
#   seed = 1244945196
# output
#   file = gauss_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.785198
# Diagonal elements of inverse mass matrix:
# 0.358382, 0.547428

-4.1245,0.949299,0.785198,3,7,0,1.28785,1.40906
-4.07595,0.988503,0.785198,2,3,0,1.30851,1.0552
-4.07595,0.791071,0.785198,2,3,0,1.30851,1.0552
-4.07595,0.828498,0.785198,2,3,0,1.30851,1.0552
-4.84381,0.90911,0.785198,2,3,0,2.31723,0.701045
-4.11879,0.993958,0.785198,2,3,0,1.45451,1.15713
-4.58297,0.920238,0.785198,2,3,0,0.780046,0.830244
-4.52657,0.989819,0.785198,2,3,0,1.92558,0.786306
-6.66844,0.860483,0.785198,2,3,0,5.03229,0.34456
-5.84153,1,0.785198,2,3,0,3.34295,2.10617
-4.95008,0.944975,0.785198,3,7,0,2.63257,1.30645
-4.80589,1,0.785198,2,3,0,0.647399,1.07289
-4.80589,0.548801,0.785198,1,1,0,0.647399,1.07289
-4.72253,1,0.785198,2,3,0,0.672062,1.29649
-4.05355,0.79817,0.785198,2,3,0,1.27391,1.1939
-4.28803,0.979806,0.785198,2,3,0,0.867518,0.953556
-4.74001,0.853273,0.785198,1,1,0,0.715676,0.853698
-5.13326,0.924486,0.785198,1,1,0,0.581933,1.23293
-5.8985,0.480784,0.785198,3,7,0,3.81575,0.566933
-7.04291,0.963686,0.785198,2,3,0,4.42731,-0.475201
-5.89229,0.999527,0.785198,2,3,0,2.99011,-0.00875229
-4.91872,0.949746,0.785198,3,7,0,0.767043,1.68406
-4.91872,0.414017,0.785198,2,3,0,0.767043,1.68406
-4.99642,1,0.785198,1,1,0,0.605449,1.22475
-8.98218,0.134271,0.785198,1,1,0,0.315637,1.03574
-4.93675,1,0.785198,1,1,0,0.833174,0.554533
-4.64748,1,0.785198,1,1,0,0.705875,0.970458
-4.32889,0.875181,0.785198,2,3,0,1.60988,0.799066
-4.54473,0.974584,0.785198,3,7,0,1.25976,1.81152
-5.07703,0.779643,0.785198,1,1,0,0.8525,1.85996
-5.07703,0.70918,0.785198,2,3,0,0.8525,1.85996
-4.58022,1,0.785198,1,1,0,1.15863,1.81287
-5.24208,0.798879,0.785198,2,3,0,2.10947,2.15447
-5.40609,0.905571,0.785198,2,3,0,3.28461,1.20125
-8.28173,0.879988,0.785198,2,3,0,9.06245,2.00622
-7.26422,1,0.785198,2,3,0,1.90799,3.07497
-5.94112,0.945655,0.785198,3,7,0,4.05814,0.870683
-5.47928,0.990204,0.785198,4,15,0,0.540885,0.995929
-5.46059,0.860659,0.785198,1,1,0,0.618741,1.63924
-4.8593,0.524598,0.785198,2,3,0,2.20038,0.569185
-4.21029,0.951764,0.785198,2,3,0,1.02695,1.4774
-4.15961,1,0.785198,1,1,0,1.08697,1.45042
-4.05945,0.994388,0.785198,2,3,0,1.29578,1.20022
-4.1978,0.919744,0.785198,4,11,0,1.2156,0.811836
-4.98573,0.897944,0.785198,2,3,0,0.643973,1.44867
-5.55336,0.81978,0.785198,1,1,0,0.527481,1.30047
-4.34324,0.616643,0.785198,2,3,0,1.81101,1.0572
-5.43053,0.940326,0.785198,2,3,0,2.18842,0.0705503
-5.1256,0.969033,0.785198,2,3,0,0.847086,0.459321
-5.25834,0.734912,0.785198,2,3,0,0.826018,1.90276
-4.69253,0.809513,0.785198,2,3,0,1.71509,0.470744
-6.97327,0.752308,0.785198,2,3,0,0.539154,1.91591
-4.36554,1,0.785198,2,3,0,0.91182,1.5243
-4.60054,0.91653,0.785198,1,1,0,0.856481,1.62952
-5.04389,0.940702,0.785198,2,3,0,2.49269,0.577338
-4.92099,1,0.785198,2,3,0,2.23588,0.52238
-4.93944,0.978521,0.785198,2,3,0,2.63095,1.11216
-5.60668,0.813624,0.785198,3,7,0,1.76761,-0.0724229
-5.97239,1,0.785198,1,1,0,2.25503,-0.239653
-5.61746,0.940249,0.785198,3,7,0,0.651139,1.77339
-5.46798,1,0.785198,1,1,0,0.958708,2.09775
-5.13658,0.96663,0.785198,2,3,0,1.81497,0.182482
-6.01339,0.93437,0.785198,3,7,0,1.38412,2.49963
-4.98171,1,0.785198,2,3,0,0.994442,0.396347
-5.22659,0.899949,0.785198,2,3,0,0.708589,0.604228
-4.33814,1,0.785198,2,3,0,1.70893,1.45544
-4.56019,0.911268,0.785198,2,3,0,0.718332,1.0398
-4.26338,1,0.785198,1,1,0,0.833956,1.20433
-4.70853,0.873315,0.785198,1,1,0,0.673016,1.27727
-4.59008,1,0.785198,1,1,0,0.709268,1.29586
-4.59008,0.193472,0.785198,1,1,0,0.709268,1.29586
-4.72592,0.786079,0.785198,2,3,0,1.94028,1.79117
-4.90572,0.977856,0.785198,1,1,0,1.73992,2.015
-4.85415,0.993212,0.785198,3,7,0,0.999144,0.450354
-4.742,1,0.785198,2,3,0,2.16985,1.63068
-4.12317,1,0.785198,2,3,0,1.37435,0.977302
-4.11068,1,0.785198,2,3,0,1.06194,1.36431
-5.06869,0.544643,0.785198,3,7,0,0.774881,1.76444
-5.06869,0.785441,0.785198,2,3,0,0.774881,1.76444
-5.41809,0.753982,0.785198,3,7,0,2.29599,0.109203
-4.57877,0.952577,0.785198,3,7,0,2.12792,1.01212
-4.15766,0.961572,0.785198,2,3,0,1.0408,0.910696
-4.49014,0.907599,0.785198,1,1,0,1.00545,0.642485
-4.35863,1,0.785198,3,7,0,1.82974,1.2895
-4.09074,0.976411,0.785198,2,3,0,1.03848,1.30226
-4.10125,0.993437,0.785198,2,3,0,1.30605,1.35387
-4.24337,0.948451,0.785198,2,3,0,1.34243,0.775536
-4.72144,0.948699,0.785198,2,3,0,2.33978,1.1261
-4.9712,0.982885,0.785198,3,7,0,0.782866,0.601459
-4.23762,0.75093,0.785198,2,3,0,1.13091,1.55145
-4.69535,0.965902,0.785198,2,3,0,0.796609,0.726194
-4.9071,0.917251,0.785198,1,1,0,0.705355,0.766965
-4.97028,0.967717,0.785198,1,1,0,0.709414,0.723131
-4.40666,1,0.785198,1,1,0,1.02554,0.686842
-5.51315,0.653048,0.785198,1,1,0,0.864785,0.301
-4.71206,1,0.785198,2,3,0,2.32459,1.09767
-6.70212,0.809498,0.785198,2,3,0,5.20839,0.464029
-6.89545,0.985508,0.785198,1,1,0,5.69304,0.579481
-4.17561,0.928847,0.785198,3,7,0,1.5307,1.03133
-8.1489,0.624207,0.785198,2,3,0,2.7542,-1.22695
-9.18041,0.80677,0.785198,1,1,0,2.67574,-1.57361
-8.22882,0.916135,0.785198,2,3,0,6.12127,-1.06513
