# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = lr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = lr_3.data.R
# init = 2 (Default)
# random
#   seed = 1170592246
# output
#   file = lr_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta_0,beta_1,beta_2,ys.1,ys.2,ys.3,ys.4
# Adaptation terminated
# Step size = 0.340816
# Diagonal elements of inverse mass matrix:
# 3.07457, 1.41253, 1.25588
-3.15,0.928271,0.340816,3,7,0,-0.0684155,0.0501339,-0.532674,0.740211,0.637499,0.637499,0.740211
-3.15,0.89645,0.340816,3,7,0,-0.0684155,0.0501339,-0.532674,0.740211,0.637499,0.637499,0.740211
-4.30655,0.954283,0.340816,4,11,0,1.23417,-1.75109,-0.946523,0.798368,0.210571,0.210571,0.798368
-3.35251,0.923493,0.340816,3,7,0,-0.642843,-0.688502,-0.701648,0.51798,0.211118,0.211118,0.51798
-3.8008,0.973978,0.340816,4,15,0,-2.39941,0.304273,-1.2226,0.586634,0.361639,0.361639,0.586634
-3.63679,0.900284,0.340816,2,3,0,-1.92618,0.0327493,-0.753141,0.404405,0.24833,0.24833,0.404405
-3.77293,0.999794,0.340816,4,11,0,1.6271,-0.484555,1.20935,0.218206,0.365549,0.365549,0.218206
-3.28823,0.970267,0.340816,2,3,0,1.02283,0.35001,0.569878,0.558008,0.760053,0.760053,0.558008
-3.34541,0.999534,0.340816,4,15,0,-0.740907,1.00499,0.0221764,0.554713,0.776763,0.776763,0.554713
-4.58493,0.867723,0.340816,3,7,0,-0.761635,0.676594,1.26555,0.0681068,0.337602,0.337602,0.0681068
-4.28139,0.998172,0.340816,3,7,0,0.625088,-0.156781,1.31733,0.102812,0.267801,0.267801,0.102812
-3.6882,1,0.340816,1,1,0,0.636961,0.00437885,1.15827,0.157732,0.374596,0.374596,0.157732
-4.10643,0.995452,0.340816,4,15,0,-2.6278,1.48652,-0.45209,0.440999,0.689401,0.689401,0.440999
-3.78298,0.943114,0.340816,4,15,0,-1.39501,0.068499,-1.40992,0.816578,0.537904,0.537904,0.816578
-3.46038,0.884069,0.340816,2,3,0,-1.56694,-0.17616,-1.12872,0.625821,0.312051,0.312051,0.625821
-3.60737,0.97813,0.340816,4,15,0,0.0365455,-1.16442,-0.910957,0.666864,0.200793,0.200793,0.666864
-3.22505,0.970145,0.340816,4,11,0,0.728796,-0.721865,-0.535137,0.745965,0.455171,0.455171,0.745965
-3.35328,0.999609,0.340816,3,7,0,1.0265,-1.12195,-0.127815,0.539959,0.251695,0.251695,0.539959
-3.13687,0.993184,0.340816,4,11,0,-1.43176,0.608739,-0.170331,0.381696,0.489015,0.489015,0.381696
-4.581,0.76726,0.340816,2,3,0,-2.77306,1.64204,-0.778159,0.604752,0.78401,0.78401,0.604752
-5.72342,0.804483,0.340816,4,15,0,3.272,-1.74186,1.40948,0.216054,0.16504,0.16504,0.216054
-5.11308,0.905285,0.340816,2,3,0,3.86638,-1.21229,0.984399,0.66492,0.6124,0.6124,0.66492
-5.33887,0.986568,0.340816,4,15,0,-2.46657,2.33303,-0.120016,0.526597,0.910479,0.910479,0.526597
-5.25721,0.802027,0.340816,4,9,0,1.7256,-2.37734,-0.402673,0.538327,0.0674586,0.0674586,0.538327
-6.45774,0.814764,0.340816,2,3,0,0.403478,-2.26908,-0.230758,0.197169,0.0197642,0.0197642,0.197169
-7.80797,0.970495,0.340816,4,15,0,3.71302,0.200215,3.45521,0.0475537,0.658867,0.658867,0.0475537
-5.28273,0.834327,0.340816,3,7,0,0.815238,1.81963,1.75285,0.295081,0.937124,0.937124,0.295081
-6.75654,0.917491,0.340816,3,7,0,1.55175,0.259,2.8391,0.0204832,0.31662,0.31662,0.0204832
-4.35621,0.933481,0.340816,3,7,0,1.63123,0.783948,1.78092,0.2411,0.805057,0.805057,0.2411
-7.73234,0.848755,0.340816,3,7,0,-3.20484,3.04131,1.46069,0.0437334,0.80488,0.80488,0.0437334
-8.77807,0.985024,0.340816,2,3,0,-2.66753,3.89009,1.45105,0.157155,0.974952,0.974952,0.157155
-7.93416,0.941477,0.340816,3,7,0,-2.41105,3.54464,0.493603,0.536531,0.985001,0.985001,0.536531
-6.5567,1,0.340816,2,3,0,-3.39281,2.63329,0.777259,0.0899677,0.749608,0.749608,0.0899677
-6.18819,0.985777,0.340816,4,9,0,3.08591,-2.67165,0.293481,0.456932,0.0723681,0.0723681,0.456932
-3.06981,0.997736,0.340816,4,15,0,1.24515,-0.104376,0.520978,0.524684,0.626076,0.626076,0.524684
-4.4085,0.977953,0.340816,4,15,0,-0.0850467,-1.61948,-1.33642,0.724783,0.120512,0.120512,0.724783
-3.92991,0.978864,0.340816,4,15,0,-1.64593,0.589952,-1.22285,0.80055,0.680665,0.680665,0.80055
-3.45692,0.9569,0.340816,2,3,0,-0.982818,-0.594489,-0.795597,0.503472,0.20162,0.20162,0.503472
-3.34121,0.995558,0.340816,3,7,0,0.275446,-0.893737,-0.150649,0.421408,0.204016,0.204016,0.421408
-4.01005,0.928574,0.340816,3,7,0,-0.0880937,0.627115,-0.494521,0.821723,0.840326,0.840326,0.821723
-3.09121,0.971066,0.340816,2,3,0,-0.107038,0.52561,-0.0271886,0.616082,0.725393,0.725393,0.616082
-3.61595,0.966801,0.340816,2,3,0,-0.193308,0.79295,-0.161397,0.715538,0.825489,0.825489,0.715538
-3.3431,1,0.340816,2,3,0,-0.160225,0.706934,-0.0532351,0.657726,0.78699,0.78699,0.657726
-3.61163,0.982329,0.340816,4,15,0,1.15505,-0.707434,0.768103,0.251884,0.263488,0.263488,0.251884
-3.2856,1,0.340816,2,3,0,1.72856,-0.457809,0.407009,0.612239,0.600112,0.600112,0.612239
-4.74658,0.948095,0.340816,3,7,0,-0.108405,-1.52476,-1.80372,0.87807,0.205185,0.205185,0.87807
-4.87638,0.936241,0.340816,2,3,0,0.260549,-0.893168,-1.75366,0.946582,0.556724,0.556724,0.946582
-4.22163,0.990076,0.340816,4,15,0,-0.253343,1.40885,1.41281,0.158409,0.759792,0.759792,0.158409
-4.08933,0.980501,0.340816,4,15,0,1.93935,-1.25352,-0.485053,0.839691,0.479352,0.479352,0.839691
-4.15922,0.971698,0.340816,4,15,0,-0.0602609,-1.14545,-1.53455,0.865691,0.306484,0.306484,0.865691
-3.22842,0.998122,0.340816,3,7,0,-1.26497,-0.111566,-0.577874,0.445027,0.286954,0.286954,0.445027
-3.4727,0.926706,0.340816,4,15,0,0.815669,0.631201,1.17489,0.288453,0.711602,0.711602,0.288453
-5.05912,0.758626,0.340816,2,3,0,0.109208,-0.52016,1.04242,0.0761542,0.12201,0.12201,0.0761542
-3.69952,1,0.340816,2,3,0,0.373106,-0.3793,0.747152,0.182351,0.243673,0.243673,0.182351
-3.60026,1,0.340816,3,7,0,0.193979,0.191103,-0.535171,0.810832,0.752382,0.752382,0.810832
-6.85771,0.657683,0.340816,4,9,0,-2.99402,2.16765,1.32807,0.029814,0.503304,0.503304,0.029814
-5.3802,0.998161,0.340816,4,15,0,-2.8042,-0.411068,-1.16121,0.290522,0.0783393,0.0783393,0.290522
-5.56275,1,0.340816,2,3,0,-2.2842,0.660561,-2.05916,0.923769,0.749527,0.749527,0.923769
-5.09355,1,0.340816,1,1,0,-2.65235,0.649462,-1.96566,0.873076,0.648451,0.648451,0.873076
-4.08099,0.919979,0.340816,3,7,0,-0.0502596,0.249958,1.18157,0.103082,0.324775,0.324775,0.103082
-4.50424,1,0.340816,4,15,0,-1.13383,0.121504,-1.64722,0.907385,0.680571,0.680571,0.907385
-2.98596,0.998831,0.340816,3,7,0,-1.02677,0.159352,-0.280872,0.42417,0.394795,0.394795,0.42417
-3.68694,0.938753,0.340816,3,7,0,-1.81877,0.0998905,-0.460751,0.310586,0.238987,0.238987,0.310586
-2.9242,0.997556,0.340816,2,3,0,-0.969737,0.41534,-0.2611,0.491951,0.530473,0.530473,0.491951
-2.87766,0.966783,0.340816,4,15,0,0.580102,-0.422352,-0.102867,0.589883,0.459654,0.459654,0.589883
-3.95468,0.862126,0.340816,4,11,0,0.985289,-0.130319,1.34159,0.138452,0.350479,0.350479,0.138452
-4.72523,0.988476,0.340816,4,15,0,-0.209301,-1.73403,-0.964597,0.496466,0.0622246,0.0622246,0.496466
-8.15034,0.921195,0.340816,3,7,0,0.635053,-3.51035,-1.52757,0.544837,0.00770549,0.00770549,0.544837
-3.02923,0.961684,0.340816,3,7,0,-1.2292,0.330679,-0.567237,0.558715,0.499848,0.499848,0.558715
-4.44719,0.92811,0.340816,3,7,0,-2.51238,0.442642,-1.75089,0.80722,0.53091,0.53091,0.80722
-4.16555,1,0.340816,3,7,0,-2.55246,0.102511,-1.57713,0.669143,0.316412,0.316412,0.669143
-4.9874,0.921736,0.340816,3,7,0,-2.88269,1.12795,-1.59368,0.807309,0.7245,0.7245,0.807309
-4.85307,0.925001,0.340816,2,3,0,-2.4967,1.47591,-1.09828,0.764185,0.825404,0.825404,0.764185
-4.82822,0.974677,0.340816,4,15,0,0.327263,1.60653,0.683718,0.637922,0.945659,0.945659,0.637922
-5.86934,0.958464,0.340816,3,7,0,-0.68541,0.873119,1.91482,0.0255325,0.298595,0.298595,0.0255325
-4.96796,0.998474,0.340816,3,7,0,1.08204,1.13449,2.17393,0.106089,0.764425,0.764425,0.106089
-4.61699,0.835975,0.340816,4,11,0,2.69606,-0.618201,0.268069,0.823715,0.767025,0.767025,0.823715
-3.21573,0.99766,0.340816,3,7,0,0.967186,0.314504,0.958079,0.346498,0.654327,0.654327,0.346498
-5.24509,0.963758,0.340816,3,7,0,1.1519,1.2829,2.28592,0.10555,0.807179,0.807179,0.10555
-4.7213,0.908493,0.340816,4,15,0,-0.0586659,-1.80915,-1.39591,0.715856,0.0927042,0.0927042,0.715856
-5.91925,0.9676,0.340816,2,3,0,-0.12191,-2.23691,-2.0553,0.852177,0.0730719,0.0730719,0.852177
-5.93331,1,0.340816,1,1,0,0.0157618,-2.22186,-2.1014,0.88045,0.0889472,0.0889472,0.88045
-3.1588,0.996581,0.340816,4,15,0,-1.4853,0.670079,-0.461184,0.526762,0.57836,0.57836,0.526762
-4.51136,0.974349,0.340816,4,15,0,-3.25985,1.32711,-1.04458,0.539024,0.608009,0.608009,0.539024
-3.88367,0.904844,0.340816,4,15,0,-0.40165,-1.14723,-0.706856,0.46626,0.120337,0.120337,0.46626
-4.13608,1,0.340816,2,3,0,-0.559273,-1.29437,-0.994712,0.533893,0.104023,0.104023,0.533893
