                   Mean           SD        Naive SE       MCSE          ESS    
      z[133]    1.0260000000  0.159214790 0.0050348137 0.0260000000   37.4990375
      z[213]    1.8990000000  0.301479502 0.0095336189 0.0553263048   29.6928748
theta[21][1]    0.6486991270  0.202726236 0.0064107665 0.0271598651   55.7140457
theta[21][2]    0.3513008730  0.202726236 0.0064107665 0.0271598651   55.7140457
      z[210]    1.0440000000  0.205197724 0.0064889218 0.0247745389   68.6015487
       z[80]    1.1340000000  0.340822769 0.0107777623 0.1012828822   11.3236151
      z[262]    1.0160000000  0.125537882 0.0039698564 0.0160000000   61.5615616
      z[142]    1.9950000000  0.070568973 0.0022315869 0.0050000000  199.1991992
      z[226]    1.8780000000  0.327449574 0.0103548647 0.0680816503   23.1328269
      z[200]    1.9090000000  0.287753022 0.0090995495 0.0459335269   39.2446267
       z[75]    1.9930000000  0.083414375 0.0026377941 0.0070000000  141.9991420
       z[50]    1.1200000000  0.325124139 0.0102813280 0.0800555363   16.4936087
          lp -489.7684575603 37.014520243 1.1705019046 7.0845331681   27.2974308
      z[119]    1.9820000000  0.133017644 0.0042063872 0.0180000000   54.6101657
      z[195]    1.9720000000  0.165055273 0.0052195060 0.0280000000   34.7490347
      z[198]    1.9690000000  0.173404351 0.0054835271 0.0310000000   31.2893539
       z[26]    1.9950000000  0.070568973 0.0022315869 0.0050000000  199.1991992
       z[47]    1.9950000000  0.070568973 0.0022315869 0.0050000000  199.1991992
   phi[1][1]    0.3903213083  0.060570476 0.0019154066 0.0073583378   67.7583047
   phi[1][2]    0.3274371806  0.052294804 0.0016537069 0.0077382129   45.6704965
   phi[1][3]    0.2571327785  0.046974885 0.0014854763 0.0037734926  154.9688616
   phi[1][4]    0.0069578267  0.032505204 0.0010279048 0.0047688833   46.4592714
   phi[1][5]    0.0181509058  0.040666717 0.0012859945 0.0091146700   19.9065650
      z[171]    1.0180000000  0.133017644 0.0042063872 0.0180000000   54.6101657
theta[23][1]    0.3163708511  0.246467907 0.0077939996 0.0421073536   34.2613808
theta[23][2]    0.6836291489  0.246467907 0.0077939996 0.0421073536   34.2613808
theta[19][1]    0.1681123885  0.148649213 0.0047007008 0.0161964128   84.2340252
theta[19][2]    0.8318876115  0.148649213 0.0047007008 0.0161964128   84.2340252
      z[114]    1.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[72]    1.9850000000  0.121613280 0.0038457496 0.0150000000   65.7323991
      z[221]    1.9070000000  0.290577761 0.0091888756 0.0596480418   23.7318922
theta[12][1]    0.1288261078  0.174032667 0.0055033962 0.0265862276   42.8497326
theta[12][2]    0.8711738922  0.174032667 0.0055033962 0.0265862276   42.8497326
      z[156]    1.9890000000  0.104354635 0.0032999833 0.0079512403  172.2478190
      z[110]    1.0010000000  0.031622777 0.0010000000 0.0010000000 1000.0000000
       z[90]    1.0930000000  0.290577761 0.0091888756 0.0626107907   21.5390414
      z[116]    1.9940000000  0.077265581 0.0024433522 0.0060000000  165.8324992
      z[240]    1.9400000000  0.237605674 0.0075137512 0.0397771570   35.6817492
       z[61]    1.0350000000  0.183871718 0.0058145343 0.0350000000   27.5990276
 theta[6][1]    0.0724919279  0.109491662 0.0034624304 0.0113737512   92.6733041
 theta[6][2]    0.9275080721  0.109491662 0.0034624304 0.0113737512   92.6733041
   phi[2][1]    0.0253791051  0.033899228 0.0010719877 0.0061569011   30.3148383
   phi[2][2]    0.0222685344  0.028766214 0.0009096676 0.0067828401   17.9863175
   phi[2][3]    0.2804351913  0.041083190 0.0012991646 0.0029222912  197.6429609
   phi[2][4]    0.3890599212  0.046991426 0.0014859994 0.0058522850   64.4742532
   phi[2][5]    0.2828572480  0.049800898 0.0015748427 0.0087582896   32.3322368
       z[20]    1.5900000000  0.492079406 0.0155609171 0.1568013605    9.8485145
      z[244]    1.6940000000  0.461060274 0.0145800061 0.0239072281  371.9263587
theta[20][1]    0.1158976644  0.183354683 0.0057981842 0.0326312127   31.5731261
theta[20][2]    0.8841023356  0.183354683 0.0057981842 0.0326312127   31.5731261
      z[251]    1.9450000000  0.228094338 0.0072129763 0.0347770678   43.0172938
      z[107]    1.0040000000  0.063150519 0.0019969947 0.0040000000  249.2492492
      z[229]    1.6920000000  0.461897553 0.0146064831 0.0661446227   48.7643271
       z[48]    1.9970000000  0.054717401 0.0017303162 0.0030000000  332.6659993
      z[145]    1.0100000000  0.099548530 0.0031480009 0.0100000000   99.0990991
      z[254]    1.0230000000  0.149978310 0.0047427306 0.0143022920  109.9627602
      z[113]    1.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[24]    1.4070000000  0.491520694 0.0155432491 0.1557209042    9.9629920
       z[25]    1.9870000000  0.113330684 0.0035838309 0.0130000000   75.9990760
      z[104]    1.0080000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[179]    1.0300000000  0.170672579 0.0053971408 0.0300000000   32.3656990
       z[30]    1.6400000000  0.480240180 0.0151865279 0.1459756448   10.8232124
      z[177]    1.6390000000  0.480530863 0.0151957201 0.1399003614   11.7979051
      z[105]    1.0040000000  0.063150519 0.0019969947 0.0040000000  249.2492492
       z[64]    1.9910000000  0.094487713 0.0029879638 0.0090000000  110.2213324
      z[125]    1.2790000000  0.448731947 0.0141901501 0.1185134779   14.3363466
      z[207]    1.3580000000  0.479652026 0.0151679289 0.0667965402   51.5637662
      z[215]    1.0200000000  0.140070053 0.0044294040 0.0097752522  205.3216007
       z[49]    1.5410000000  0.498565510 0.0157660257 0.1517047571   10.8005548
      z[141]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
      z[137]    1.9980000000  0.044698971 0.0014135056 0.0020000000  499.4994995
       z[87]    1.0550000000  0.228094338 0.0072129763 0.0507116029   20.2308595
      z[155]    1.1750000000  0.380157230 0.0120216272 0.1039471019   13.3752447
      z[216]    1.2410000000  0.427904314 0.0135315225 0.0545781804   61.4688694
      z[217]    1.2460000000  0.430894035 0.0136260658 0.0421162413  104.6747073
       z[27]    1.1570000000  0.363982807 0.0115101470 0.0839583230   18.7946494
      z[219]    1.0290000000  0.167890402 0.0053091607 0.0179783821   87.2068356
      z[101]    1.0610000000  0.239450071 0.0075720761 0.0508691131   22.1575433
 theta[8][1]    0.9197861096  0.089273728 0.0028230832 0.0211675793   17.7870919
 theta[8][2]    0.0802138904  0.089273728 0.0028230832 0.0211675793   17.7870919
theta[11][1]    0.0814617716  0.107992148 0.0034150116 0.0080925333  178.0800881
theta[11][2]    0.9185382284  0.107992148 0.0034150116 0.0080925333  178.0800881
      z[258]    1.0200000000  0.140070053 0.0044294040 0.0167994709   69.5183372
       z[38]    1.6290000000  0.483314176 0.0152837362 0.1469727866   10.8139712
       z[10]    1.9890000000  0.104354635 0.0032999833 0.0110000000   89.9990900
      z[183]    1.0380000000  0.191291904 0.0060491812 0.0337902024   32.0487868
      z[138]    1.9980000000  0.044698971 0.0014135056 0.0020000000  499.4994995

